name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,Unnamed: 0,Brand,Model.Number,Price,Photo,Engine.Type,Body.Type,Fuel.Type,Gearbox.Type,Power.hp,Displacement.l,Torque.lbft,Cylinders,Drivetrain,MPG.City,MPG.Highway,Seats,Doors,Height.in,Length.in,Width.in,Wheelbase.in,Clearance.in,Air.Conditioner,Heater,AntiLock.Braking.System,Central.Locking,Power.Steering,Power.Windows,Leather.Seats,Anti.Lock.Braking,Brake.Assist,Central.Locking.1,Power.Door.Locks,Child.Safety.Locks,Night.Rear.View.Mirror,Rear.Seat.Belts,Door.Ajar.Warning,Adjustable.Seats,Crash.Sensor,Engine.Check.Warning,Rear.Camera,Anti.Theft.Device,Touch.Screen,Audio.System.Remote.Control,Speakers.Front...back,Bluetooth.Connectivity,USB...Auxiliary.Input,Adjustable.Steering.Column,Height.Adjustable.Driving.Seat,Digital.Clock,Smoke.Headlamps,Electric.Folding.Rear.View.Mirror,Automatic.Climate.Control,Low.Fuel.Warning.Light,Parking.Sensors,Bottle.Holder,Voice.Control,Seat.Belt.Warning,Vehicle.Stability.Control.System,Engine.Immobilizer,Rear.Reading.Lamp,Radio,Outside.Temperature.Display,Fog.Lights.Front...Back,Centrally.Mounted.Fuel.Tank,CD.Player,DVD.Player,Electric.Adjustable.Seats,Keyless.Entry,Tyre.Pressure.Monitor,Smart.Access.Card.Entry,Xenon.Headlamps,Halogen.Headlamps,Removable.Convertible.Top,Cassette.Player
,,,,,,,,,,,,,773.0,Infiniti,Q60 3.0t Pure 2022,41750.0,https://www.ccarprice.com/products/Infiniti_Q60_3.0t_Pure_2022.jpg,3.0-liter Twin-Turbo V6 Gas,Coupe,Petrol,Automatic,300.0,3.0,295.0,6.0,rear,19.0,28.0,4.0,2.0,54.5,184.4,72.8,112.2,4.9,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,
,,,,,,,,,,,,,774.0,Infiniti,QX50 Pure 2022,39000.0,https://www.ccarprice.com/products/Infiniti-QX50-Pure-2022.jpg,2.0L Turbo Inline-4 Gas,SUV,Petrol,CVT,268.0,2.0,280.0,4.0,front,23.0,29.0,5.0,4.0,66.0,184.7,74.9,110.2,8.6,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,
,,,,,,,,,,,,,775.0,Infiniti,QX80 Luxe 2022,84850.0,https://www.ccarprice.com/products/Infiniti_QX80_Luxe_2022.jpg,5.6-liter V8 Gas,SUV,Petrol,Automatic,400.0,5.6,413.0,8.0,rear,14.0,20.0,7.0,5.0,75.8,210.2,79.9,121.1,9.2,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,,,Yes,,
,,,,,,,,,,,,,776.0,Infiniti,QX60 Pure 2022,46850.0,https://www.ccarprice.com/products/Infiniti_QX60_Pure_2022_1.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,295.0,3.5,270.0,6.0,front,21.0,26.0,7.0,4.0,69.7,198.2,78.0,114.2,6.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,Yes,,,,
,,,,,,,,,,,,,777.0,Infiniti,QX55 LUXE 2022,46500.0,https://www.ccarprice.com/products/Infiniti_QX55_LUXE_2022.jpg,2.0L Turbo Inline-4 Gas,SUV,Petrol,CVT,268.0,2.0,280.0,4.0,all,,,5.0,4.0,74.9,186.3,63.8,110.2,8.6,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,
,,,,,,,,,,,,,778.0,Infiniti,Q60 Red Sport 400 AWD 2021,60100.0,https://www.ccarprice.com/products/Infiniti-Q60-Red-Sport-400-AWD-2021.jpg,3.0-liter Twin-Turbo V6 Gas,Coupe,Petrol,Automatic,400.0,3.0,350.0,6.0,all,19.0,26.0,4.0,2.0,54.9,184.4,72.8,112.2,4.9,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,
,,,,,,,,,,,,,779.0,Infiniti,Q60 Red Sport 400 2021,58100.0,https://www.ccarprice.com/products/Infiniti-Q60-Red-Sport-400-RWD-2021.jpg,3.0-liter Twin-Turbo V6 Gas,Coupe,Petrol,Automatic,400.0,3.0,350.0,6.0,rear,20.0,27.0,4.0,2.0,54.5,184.4,72.8,112.2,4.9,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,
,,,,,,,,,,,,,780.0,Infiniti,Q60 3.0t Luxe AWD 2021,52200.0,https://www.ccarprice.com/products/Infiniti-Q60-3.0t-Luxe-AWD-2021.jpg,3.0-liter Twin-Turbo V6 Gas,Coupe,Petrol,Automatic,300.0,3.0,295.0,6.0,all,19.0,27.0,4.0,2.0,54.5,184.4,72.8,112.2,4.9,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,
,,,,,,,,,,,,,781.0,Jaguar,F-Type 75 Special Edition 2023,86000.0,https://www.ccarprice.com/products/Jaguar_F-Type_75_Special_Edition_2023_Price.jpg,5.0L Supercharged V8,Coupe,Petrol,Automatic,444.0,5.0,428.0,8.0,rear,17.0,24.0,2.0,2.0,51.6,176.0,74.2,103.2,4.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,Yes,,,,
,,,,,,,,,,,,,782.0,Jaguar,F Type P450 R Dynamic Coupe 2022,71050.0,https://www.ccarprice.com/products/Jaguar_F_Type_P450_R_Dynamic_Coupe_2022.jpg,5.0L Supercharged V8 Gas,Coupe,Petrol,Automatic,444.0,5.0,428.0,8.0,rear,17.0,24.0,4.0,2.0,51.6,176.0,74.2,103.2,4.1,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,,,,
